consigner_lat,consigner_long,consignee_lat,consignee_long,start_date
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.5998,73.8199,24.5998,73.8199,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,13.0836,80.2825,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.3636,73.72,24.5998,73.8199,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.3511,73.7454,24.3511,73.7454,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
29.4,79.3,23.0278,72.6003,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.5998,73.8199,24.5998,73.8199,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.3636,73.72,24.5998,73.8199,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
29.4,79.3,18.9982,73.1231,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,24.8865,72.8529,2021-06-21
24.5998,73.8199,24.6207,74.6851,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9623,74.1201,25.0003,74.1449,2021-06-21
24.9491,74.1317,24.9623,74.1201,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9623,74.1201,18.8995,72.9994,2021-06-21
24.9623,74.1201,18.8995,72.9994,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
25.0003,74.1449,24.334,73.6871,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,25.049,75.8839,2021-06-21
24.9645,74.6589,24.9623,74.1201,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.5998,73.8199,24.5998,73.8199,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.5998,73.8199,24.5998,73.8199,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
24.9623,74.1201,18.8995,72.9994,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9645,74.6589,24.9358,74.4746,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9491,74.1317,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.5998,73.8199,2021-06-21
25.0003,74.1449,24.5998,73.8199,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9623,74.1201,37.0902,-95.7129,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9615,74.6582,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
24.9491,74.1317,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.5998,73.8199,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9623,74.1201,25.049,75.8839,2021-06-21
29.4,79.3,28.3925,77.3128,2021-06-21
24.9645,74.6589,18.8995,72.9994,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,18.8995,72.9994,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
24.5998,73.8199,24.5998,73.8199,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
29.4,79.3,28.3925,77.3128,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,13.7352,79.4729,2021-06-21
24.9645,74.6589,26.1602,74.2771,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.5998,73.8199,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
29.4,79.3,28.3925,77.3128,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.5998,73.8199,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
24.3636,73.72,24.5998,73.8199,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,13.7352,79.4729,2021-06-21
24.5998,73.8199,24.5795,73.8186,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,13.7352,79.4729,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
24.3636,73.72,24.9615,74.6582,2021-06-21
29.4,79.3,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
29.4,79.3,28.3925,77.3128,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9491,74.1317,25.0003,74.1449,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.3636,73.72,24.5998,73.8199,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
24.3636,73.72,24.5998,73.8199,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9645,74.6589,28.1605,76.8382,2021-06-21
25.8419,74.741,24.5998,73.8199,2021-06-21
24.9645,74.6589,24.5998,73.8199,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.3636,73.72,24.9623,74.1201,2021-06-21
29.4,79.3,24.9615,74.6582,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9623,74.1201,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9623,74.1201,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
24.5998,73.8199,28.3925,77.3128,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.5998,73.8199,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,12.7169,77.8396,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
29.4,79.3,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
29.4,79.3,24.9623,74.1201,2021-06-21
24.3636,73.72,24.9623,74.1201,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
24.9645,74.6589,31.6527,74.8005,2021-06-21
29.4,79.3,22.7588,69.692,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.3636,73.72,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.3636,73.72,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.3636,73.72,24.9623,74.1201,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.3636,73.72,24.9615,74.6582,2021-06-21
24.9645,74.6589,12.7169,77.8396,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
25.8419,74.741,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
25.8419,74.741,24.9615,74.6582,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9623,74.1201,18.8995,72.9994,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
29.4,79.3,28.6341,77.2169,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.3636,73.72,24.5998,73.8199,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9645,74.6589,24.9358,74.4746,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,12.7169,77.8396,2021-06-21
24.9623,74.1201,18.8995,72.9994,2021-06-21
24.9645,74.6589,25.6676,76.1896,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
29.4,79.3,28.3925,77.3128,2021-06-21
29.4,79.3,37.0902,-95.7129,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
24.3636,73.72,24.9615,74.6582,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
24.3636,73.72,24.9615,74.6582,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
24.3636,73.72,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9623,74.1201,24.9615,74.6582,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
24.9623,74.1201,37.0902,-95.7129,2021-06-21
24.9623,74.1201,37.0902,-95.7129,2021-06-21
24.9623,74.1201,37.0902,-95.7129,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
29.4,79.3,37.0902,-95.7129,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9358,74.4746,2021-06-21
24.3511,73.7454,24.5998,73.8199,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
24.5998,73.8199,24.6253,73.8694,2021-06-21
24.5998,73.8199,37.0902,-95.7129,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,37.0902,-95.7129,2021-06-21
24.9645,74.6589,28.9986,77.7044,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
24.9623,74.1201,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
26.5317,74.6935,26.535,74.6883,2021-06-21
29.4,79.3,28.3925,77.3128,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
25.0003,74.1449,25.0003,74.1449,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9491,74.1317,24.9491,74.1317,2021-06-21
26.5317,74.6935,25.8419,74.741,2021-06-21
25.8419,74.741,37.0902,-95.7129,2021-06-21
24.3636,73.72,24.334,73.6871,2021-06-21
24.9623,74.1201,24.9623,74.1201,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
25.8419,74.741,25.8419,74.741,2021-06-21
24.9645,74.6589,24.9615,74.6582,2021-06-21
